similarity_mean,similarity_max,similarity_min,logical_mean,logical_max,logical_min,specificity,label
0.85520655,0.8552066,0.8552066,0.7,0.8,0.8,0.9,1
0.8812207,0.9244549,0.8646598,0.7,1.0,0.4,0.7250000000000001,1
0.8484115,0.87322694,0.81661135,0.625,1.0,0.3,0.85,1
0.8401654,0.8851985,0.8086615,0.26666666666666666,0.6,0.3,0.3666666666666667,1
0.8827535,0.89266866,0.8728385,0.65,0.9,0.4,0.75,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.8562465,0.92393225,0.8020093,0.4375,0.8,0.0,0.4625,1
0.8821533,0.8821533,0.8821533,0.9,0.9,0.9,0.9,1
0.8619496,0.9117608,0.8324094,0.6666666666666666,1.0,0.6,0.5666666666666668,1
0.864269,0.86426914,0.86426914,0.8,0.7,0.7,0.7,1
0.8426786,0.87547183,0.8200394,0.39999999999999997,0.6,0.3,0.5666666666666667,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.82873935,0.83976835,0.817723,0.7333333333333333,1.0,0.3,0.9,1
0.8485986,0.8485986,0.8485986,0.3,0.3,0.3,0.4,1
0.8774087,0.89626646,0.85855085,0.5,0.9,0.3,0.9,1
0.8941833,0.8941833,0.8941833,0.5,0.6,0.6,0.7,1
0.85090435,0.8738159,0.82799274,0.2,0.3,0.1,0.35,1
0.82849044,0.84133273,0.8156483,0.35,0.6,0.3,0.55,1
0.88306135,0.9145872,0.85971004,0.475,0.9,0.3,0.675,1
0.8303314,0.84814686,0.8125161,0.65,1.0,0.0,0.6,1
0.81472087,0.8322786,0.80084264,0.7666666666666667,0.9,0.3,0.9,1
0.9033682,0.9033682,0.9033682,0.9,1.0,1.0,0.9,1
0.85619813,0.89295197,0.81843513,0.55,1.0,0.3,0.5750000000000001,1
0.84229684,0.8648646,0.81505466,0.5,0.8,0.2,0.7749999999999999,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.8123019,0.8123018,0.8123018,0.3,0.3,0.3,0.5,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.8716627,0.87166274,0.87166274,0.3,0.1,0.1,0.3,1
0.86001176,0.86425126,0.8557723,0.75,0.8,0.7,0.8500000000000001,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.8507326,0.8634611,0.8380042,0.7,0.7,0.7,0.55,1
0.8333107,0.8333107,0.8333107,0.9,0.9,0.9,0.7,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.8596983,0.8626992,0.8566972,0.75,0.8,0.7,0.9,1
0.85109955,0.8708517,0.8195542,0.4571428571428572,1.0,0.0,0.5714285714285714,1
0.833932,0.8614711,0.8063928,0.7,0.7,0.7,0.8500000000000001,1
0.8359918,0.8359918,0.8359918,1.0,1.0,1.0,0.9,1
0.889807,0.889807,0.889807,0.9,0.9,0.9,0.9,1
0.8560022,0.91036135,0.801643,0.7,0.7,0.6,0.8500000000000001,1
0.88318896,0.8972641,0.8691139,0.65,0.9,0.4,0.55,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.87773097,0.87773097,0.87773097,0.3,0.6,0.6,0.6,1
0.83661115,0.86579293,0.8064533,0.8,1.0,0.3,0.75,1
0.8134583,0.8134583,0.8134583,0.8,0.7,0.7,0.7,1
0.85674924,0.85674936,0.85674936,0.9,0.9,0.9,0.9,1
0.8344921,0.90381616,0.8013673,0.325,1.0,0.0,0.7333333333333333,1
0.8544987,0.89946485,0.80989236,0.6,0.9,0.3,0.6999999999999998,1
0.83093405,0.8564484,0.8054196,0.6499999999999999,0.7,0.5,0.8,1
0.8587039,0.8587037,0.8587037,0.3,0.3,0.3,0.3,1
0.80902684,0.8090268,0.8090268,0.9,0.9,0.9,0.9,1
0.8428581,0.86397797,0.8236092,0.4,0.7,0.3,0.42500000000000004,1
0.8222284,0.8286571,0.8108742,0.6666666666666666,1.0,0.0,0.6999999999999998,1
0.85054696,0.8505469,0.8505469,1.0,1.0,1.0,0.9,1
0.8807409,0.8807409,0.8807409,0.3,0.3,0.3,0.4,1
0.86138445,0.870604,0.85012823,0.3333333333333333,0.8,0.0,0.7000000000000001,1
0.8495774,0.8826331,0.8159785,0.7333333333333334,1.0,0.4,0.5333333333333333,1
0.8354232,0.88018376,0.800901,0.14166666666666666,0.3,0.0,0.42000000000000004,1
